S000004362,S000000438,Cellular Component: 0.828085299132
S000005531,S000003058,Cellular Component: 0.874544633779
S000006074,S000006074,Cellular Component: 0.120514463903
S000001886,S000002161,Cellular Component: 1.0
S000005736,S000005095,Cellular Component: 0.708405382507
S000003821,S000002726,Cellular Component: 0.523308369026
S000001948,S000002681,Cellular Component: 0.0216388305672
S000002309,S000006314,Cellular Component: 0.708405382507
S000004931,S000002979,Cellular Component: 1.0
S000002319,S000000741,Cellular Component: 0.691846122033
S000000688,S000005450,Cellular Component: 1.0
S000001111,S000000004,Cellular Component: 0.177751831825
S000000119,S000004264,Cellular Component: 0.863760822901
S000005507,S000005507,Cellular Component: 0.627943635278
S000005232,S000002851,Cellular Component: 0.544101059604
S000000689,S000000870,Cellular Component: 0.813478996236
S000006095,S000004908,Cellular Component: 0.969725607356
S000002166,S000001505,Cellular Component: 0.742127948698
S000002309,S000000358,Cellular Component: 0.708405382507
S000005939,S000002726,Cellular Component: 0.816211210454
S000005188,S000000283,Cellular Component: 0.813478996236
S000000493,S000005306,Cellular Component: 0.850948774476
S000005736,S000003134,Cellular Component: 0.120514463903
S000000559,S000002172,Cellular Component: 0.475829319288
S000001203,S000004181,Cellular Component: 0.525078860236
S000000847,S000004925,Cellular Component: 0.120514463903
S000006385,S000004650,Cellular Component: 0.33008222637
S000000814,S000001946,Cellular Component: 0.980394995403
S000001710,S000002798,Cellular Component: 0.177751831825
S000003567,S000002622,Cellular Component: 0.0216388305672
S000004557,S000000896,Cellular Component: 0.980394995403
S000004246,S000006161,Cellular Component: 0.0216388305672
S000006394,S000006391,Cellular Component: 0.708405382507
S000003959,S000000392,Cellular Component: 0.73705768716
S000006306,S000002749,Cellular Component: 0.0494074443379
S000002632,S000003617,Cellular Component: 0.454250881564
S000002201,S000005230,Cellular Component: 0.927181031727
S000002971,S000000364,Cellular Component: 0.177751831825
S000004818,S000003472,Cellular Component: 0.920846476706
S000000975,S000003829,Cellular Component: 0.886370563499
S000005030,S000006389,Cellular Component: 0.0494074443379
S000004294,S000000813,Cellular Component: 0.0110079433499
S000000881,S000005098,Cellular Component: 0.0110079433499
S000000019,S000002851,Cellular Component: 0.544101059604
S000004005,S000002877,Cellular Component: 0.905959147011
S000001905,S000003163,Cellular Component: 0.823130729446
S000005034,S000006082,Cellular Component: 0.0216388305672
S000000999,S000000337,Cellular Component: 0.407861882505
S000001906,S000001628,Cellular Component: 0.877316236083
S000001503,S000004223,Cellular Component: 0.120514463903
S000004560,S000005786,Cellular Component: 0.177751831825
S000006139,S000003168,Cellular Component: 0.740289248408
S000000897,S000004846,Cellular Component: 0.198129646975
S000002916,S000002371,Cellular Component: 0.179296182274
S000002691,S000002691,Cellular Component: 0.823130729446
S000002892,S000003566,Cellular Component: 0.914042649566
S000004530,S000001160,Cellular Component: 0.795391110485
S000004378,S000003538,Cellular Component: 0.177751831825
S000003882,S000002785,Cellular Component: 0.657904163866
S000005364,S000006060,Cellular Component: 0.933298517798
S000004970,S000005963,Cellular Component: 0.544101059604
S000005207,S000001147,Cellular Component: 0.140000142268
S000001084,S000000629,Cellular Component: 0.103073685425
S000004685,S000002579,Cellular Component: 0.133167230214
S000003327,S000005176,Cellular Component: 0.781419129943
S000002881,S000006382,Cellular Component: 0.805905952253
S000003279,S000005636,Cellular Component: 0.863760822901
S000002274,S000001540,Cellular Component: 0.889363374653
S000003122,S000003223,Cellular Component: 0.0216388305672
S000002624,S000003484,Cellular Component: 0.120514463903
S000003012,S000000967,Cellular Component: 0.133167230214
S000003290,S000003368,Cellular Component: 0.120514463903
S000004122,S000001195,Cellular Component: 0.120514463903
S000005787,S000000823,Cellular Component: 0.973729924916
S000000974,S000002495,Cellular Component: 0.496777359309
S000000112,S000001047,Cellular Component: 0.053898417263
S000001877,S000000904,Cellular Component: 0.0494074443379
S000004635,S000001421,Cellular Component: 0.758687209172
S000000121,S000002271,Cellular Component: 0.053898417263
S000001215,S000005070,Cellular Component: 0.874544633779
S000005116,S000001209,Cellular Component: 0.742127948698
S000000999,S000002569,Cellular Component: 0.120514463903
S000002723,S000004315,Cellular Component: 0.120514463903
S000003803,S000002274,Cellular Component: 0.889363374653
S000001126,S000000571,Cellular Component: 0.120514463903
S000001185,S000003548,Cellular Component: 0.708405382507
S000003246,S000001406,Cellular Component: 0.0110079433499
S000000595,S000005110,Cellular Component: 0.813478996236
S000006323,S000003723,Cellular Component: 0.462944705241
S000003482,S000001440,Cellular Component: 0.0494074443379
S000006276,S000001300,Cellular Component: 0.813478996236
S000005166,S000004105,Cellular Component: 0.742127948698
S000001026,S000000063,Cellular Component: 0.133167230214
S000001855,S000002337,Cellular Component: 0.198129646975
S000002888,S000006177,Cellular Component: 0.120514463903
S000000735,S000001083,Cellular Component: 0.120514463903
S000005658,S000005595,Cellular Component: 1.0
S000002228,S000000935,Cellular Component: 0.120514463903
S000000339,S000000364,Cellular Component: 0.676462914781
S000006259,S000000306,Cellular Component: 0.828085299132
S000004952,S000000004,Cellular Component: 0.374141751057
S000006074,S000000340,Cellular Component: 0.120514463903
S000003367,S000005889,Cellular Component: 1.0
S000000065,S000006314,Cellular Component: 0.198129646975
S000005885,S000006169,Cellular Component: 0.120514463903
S000001249,S000001249,Cellular Component: 0.120514463903
S000002375,S000004627,Cellular Component: 0.795391110485
S000000739,S000006389,Cellular Component: 0.177751831825
S000001039,S000000735,Cellular Component: 0.053898417263
S000000914,S000004254,Cellular Component: 0.249004032872
S000004603,S000003814,Cellular Component: 0.478777017309
S000002856,S000001141,Cellular Component: 0.820787237033
S000004090,S000003292,Cellular Component: 0.454280149237
S000002636,S000004665,Cellular Component: 0.714455862631
S000000814,S000004557,Cellular Component: 0.980394995403
S000003577,S000004650,Cellular Component: 0.933298517798
S000003129,S000001856,Cellular Component: 0.406819773489
S000005231,S000003105,Cellular Component: 0.93424277975
S000001325,S000003065,Cellular Component: 0.120514463903
S000000421,S000000078,Cellular Component: 0.0494074443379
S000003194,S000002990,Cellular Component: 0.813478996236
S000003949,S000004650,Cellular Component: 0.120514463903
S000003927,S000005205,Cellular Component: 0.795391110485
S000002537,S000002537,Cellular Component: 1.0
S000002796,S000004804,Cellular Component: 0.407861882505
S000006276,S000002552,Cellular Component: 0.544101059604
S000005167,S000001857,Cellular Component: 0.120514463903
S000005318,S000001324,Cellular Component: 0.828085299132
S000000358,S000003676,Cellular Component: 0.767877356822
S000003950,S000003157,Cellular Component: 0.103073685425
S000003450,S000005898,Cellular Component: 0.0494074443379
S000002549,S000005158,Cellular Component: 0.525078860236
S000005562,S000002507,Cellular Component: 0.374618555071
S000003140,S000003351,Cellular Component: 0.962435673266
S000005664,S000003500,Cellular Component: 0.0494074443379
S000003209,S000002525,Cellular Component: 0.742127948698
S000000483,S000003213,Cellular Component: 0.844644559606
S000000063,S000000813,Cellular Component: 0.179296182274
S000002796,S000004900,Cellular Component: 0.103073685425
S000006181,S000001406,Cellular Component: 0.120514463903
S000000912,S000003351,Cellular Component: 0.615527422615
S000004117,S000002166,Cellular Component: 0.742127948698
S000004137,S000003323,Cellular Component: 0.805905952253
S000005442,S000005641,Cellular Component: 0.177751831825
S000002812,S000002299,Cellular Component: 0.767877356822
S000006176,S000003043,Cellular Component: 0.498178535116
S000002269,S000000631,Cellular Component: 0.781419129943
S000005940,S000001102,Cellular Component: 0.32917757498
S000006385,S000001371,Cellular Component: 0.917764002703
S000005686,S000002600,Cellular Component: 0.120514463903
S000001328,S000001328,Cellular Component: 0.841692953412
S000001039,S000002574,Cellular Component: 0.053898417263
S000001505,S000003457,Cellular Component: 0.742127948698
S000005180,S000002885,Cellular Component: 0.198129646975
S000000851,S000003029,Cellular Component: 0.120514463903
S000006311,S000000409,Cellular Component: 0.053898417263
S000002636,S000000967,Cellular Component: 0.133167230214
S000001722,S000005207,Cellular Component: 0.32917757498
S000004025,S000004777,Cellular Component: 0.120514463903
S000003996,S000002394,Cellular Component: 0.0494074443379
S000001886,S000001288,Cellular Component: 1.0
S000005786,S000000827,Cellular Component: 0.177751831825
S000005565,S000005565,Cellular Component: 0.863760822901
S000000103,S000000935,Cellular Component: 0.458155343793
S000004557,S000003140,Cellular Component: 0.177751831825
S000004810,S000004016,Cellular Component: 0.374618555071
S000001946,S000002979,Cellular Component: 0.88810302259
S000006059,S000000462,Cellular Component: 0.905959147011
S000002324,S000000689,Cellular Component: 0.813478996236
S000003882,S000005259,Cellular Component: 0.197621437878
S000004105,S000001542,Cellular Component: 0.742127948698
S000001734,S000000827,Cellular Component: 0.177751831825
S000004332,S000002239,Cellular Component: 0.838968663728
S000003012,S000005483,Cellular Component: 0.714455862631
S000005394,S000003997,Cellular Component: 0.762539430118
S000002290,S000002175,Cellular Component: 0.177751831825
S000004762,S000004925,Cellular Component: 0.120514463903
S000003450,S000000769,Cellular Component: 0.186332604419
S000001229,S000003827,Cellular Component: 0.816211210454
S000005837,S000002172,Cellular Component: 0.755728329634
S000002398,S000001227,Cellular Component: 0.672729858738
S000000515,S000000896,Cellular Component: 0.177751831825
S000000256,S000002439,Cellular Component: 0.720816756543
