(nan, nan)
(0.5688998350288468, 3.888690953445994e-06)
(0.5738812469005294, 2.483277028630846e-06)
(0.5648764979120416, 3.1532268174727934e-06)
(0.5560630964298985, 3.9756679416536074e-06)
(0.5647877897852145, 2.122345649074189e-06)
(0.5596348958095327, 2.2594209636108753e-06)
(0.5132596390932705, 1.696454151289448e-05)
(0.5105724569815228, 1.6298369972149334e-05)
(0.5136638788531245, 1.2085947324705707e-05)
(0.5063296886672297, 1.4413148510166549e-05)
(0.49736348127962676, 1.8540243010224972e-05)
(0.4995734390916208, 1.4441341948708567e-05)
(0.4805102171993142, 2.9325730309304206e-05)
(0.4385170966925623, 0.00014642169821313077)
(0.4441818713922933, 0.00010432722444497714)
(0.4558555801015609, 5.722071867547876e-05)
(0.45326250384436395, 5.6518368223578246e-05)
(0.4227133058818293, 0.00017549848832049174)
(0.41975050759008264, 0.00017767765316684293)
(0.40871531178966597, 0.0002468418917010353)
(0.4069641615255819, 0.00023969808021926056)
(0.46078896703460376, 2.183127257758383e-05)
(0.48877470444007687, 4.8708934899511865e-06)
(0.5101035272409341, 1.3424219720445094e-06)
(0.5291029738152124, 3.812229445108848e-07)
(0.5367196887060163, 2.0164424054129418e-07)
(0.5574937192795211, 4.387219677040101e-08)
(0.5689530075142283, 1.6365721710826416e-08)
(0.5762665654966516, 7.883277108872597e-09)
(0.5792951811252043, 5.112463784938899e-09)
(0.5822678407420779, 3.304772678586153e-09)
(0.5690160421938265, 7.283487609775664e-09)
(0.5662095660522786, 7.341815996044293e-09)
(0.5795982492542553, 2.1555296505955566e-09)
(0.5863106282113296, 1.0197585413759967e-09)
(0.6065619920005416, 1.4715951472959432e-10)
(0.612200941701222, 7.015140703839943e-11)
(0.6164757406155654, 3.718451085355135e-11)
(0.6197092872382491, 2.1453388727852314e-11)
(0.6209626528695217, 1.484581478031043e-11)
(0.6203733295225796, 1.2261799729765579e-11)
(0.6217207365502467, 8.378313837723811e-12)
(0.6226120673800923, 5.972697838852385e-12)
(0.6173882719030636, 7.851015633583653e-12)
(0.6086373830411607, 1.4587948864878028e-11)
(0.598696470280956, 3.0080065817528985e-11)
(0.5878799443643927, 6.633672262215824e-11)
(0.585294315658669, 6.789922196955268e-11)
(0.5822162520023241, 7.29205461597536e-11)
(0.5729161482578436, 1.385607770386539e-10)
(0.5665639903703358, 2.0053795036009633e-10)
(0.5701923383891063, 1.1838213630402445e-10)
(0.5851954220829341, 2.3477231847501552e-11)
(0.5860783430967836, 1.738315262318417e-11)
(0.5864036733574569, 1.3577983318592906e-11)
(0.5903693826445767, 7.347385458041353e-12)
(0.596262943897102, 3.2130648478076733e-12)
(0.6012966786570211, 1.5052084911849745e-12)
(0.5949586010777377, 2.3570534676948634e-12)
(0.5993911093915001, 1.1718514637775372e-12)
(0.5977919159869074, 1.1117054444527874e-12)
(0.6013262211642066, 6.012346911784764e-13)
(0.6054242048138084, 3.015760995364963e-13)
(0.6071636243325933, 1.9580058733485655e-13)
(0.6108937818435357, 1.0022818017003347e-13)
(0.6180538815778841, 3.346110454124356e-14)
(0.62292793853315, 1.4341231311288396e-14)
(0.6259419216868667, 7.63387843200554e-15)
(0.6199688372516361, 1.2643756231398533e-14)
(0.621535117465461, 8.102013814931548e-15)
(0.6144915702767451, 1.5416542932704658e-14)
(0.6084400790484146, 2.575590653319136e-14)
(0.6057982436348239, 2.8231445460521884e-14)
(0.6092671038819896, 1.451141906714712e-14)
(0.608723229018349, 1.2279742874704219e-14)
(0.6115832414167496, 6.7317649442381255e-15)
(0.6248087111893315, 9.180584686054082e-16)
(0.6201574484331001, 1.3424614492555802e-15)
(0.6145489730852913, 2.2276622579970983e-15)
(0.6127619784797497, 2.22258898439216e-15)
(0.6161802502714243, 1.1037756701973702e-15)
(0.6129924376301362, 1.3358468325466181e-15)
(0.6146179608596061, 8.424090797290253e-16)
(0.6221193293398158, 2.321361112547835e-16)
(0.6214241441351709, 1.9995854328853596e-16)
(0.6237373344905804, 1.1191888463863212e-16)
(0.6238368816152474, 8.592256600425962e-17)
(0.6269600753809241, 4.22317022584454e-17)
(0.6273057966574126, 3.11380675844574e-17)
(0.6313977083121853, 1.2996038408407127e-17)
(0.6327524622618483, 8.150786470845118e-18)
(0.6358229733993038, 3.890691337589627e-18)
(0.6253313978816624, 1.5286666715222908e-17)
(0.6270281661889657, 9.15565914945353e-18)
(0.6253617719428887, 9.204408445485656e-18)
(0.6302589098151906, 3.318869504724723e-18)
(0.6340014178823079, 1.4085396635596013e-18)
(0.6298100484503001, 2.1359321568493922e-18)
(0.6281748880715139, 2.151037383052058e-18)
(0.6277263992248637, 1.7934250934527748e-18)
(0.6245104672578214, 2.336878031716009e-18)
(0.6224195199939493, 2.54580310412943e-18)
(0.6220375893900472, 2.1122894421262925e-18)
(0.6220982599336978, 1.6326538977473134e-18)
(0.6212445711504159, 1.4641732239630775e-18)
(0.6234881237180351, 7.91549215562362e-19)
(0.6233120307700779, 6.352456186907479e-19)
(0.6267969586100733, 2.7602268371332457e-19)
(0.6268315304077399, 2.1316973568809195e-19)
(0.6247259355666189, 2.3698485276798237e-19)
(0.6242255599102339, 2.0092564748402453e-19)
(0.6227596970802302, 2.0105840769668497e-19)
(0.6223628685114606, 1.678833129130813e-19)
(0.6238167873842474, 1.0193427161611591e-19)
(0.6200304206009775, 1.5291439146329132e-19)
(0.6209740402980285, 1.0160026192784659e-19)
(0.6222919496673858, 6.306897622327258e-20)
(0.6219657741910652, 5.2139699490725663e-20)
(0.6183412847384796, 7.702077047505875e-20)
