(nan, nan)
(0.8187522550230588, 1.545468718785674e-51)
(0.8192168047923097, 6.96497501125114e-52)
(0.8196548966615133, 3.1729485419660985e-52)
(0.8210055902460153, 8.917941028826565e-53)
(0.8207388563275375, 5.850228324784971e-53)
(0.8205553937344731, 3.6758850877316928e-53)
(0.820330590098343, 2.3630753777123626e-53)
(0.8195397423877605, 2.0569826733431778e-53)
(0.81975419134845, 1.0483392140436582e-53)
(0.8197527527134203, 5.994759218946061e-54)
(0.8205563431298464, 2.2152472504193277e-54)
(0.8185601627411415, 3.733643790758978e-54)
(0.8194744005176811, 1.3018331698475331e-54)
(0.8196267854708351, 6.847850999752566e-55)
(0.8206516190598905, 2.222323498237839e-55)
(0.8203950645346287, 1.4613738088887769e-55)
(0.8216170067119287, 4.203822550306308e-56)
(0.8225579912381479, 1.4027532198241457e-56)
(0.8209588048664517, 1.974382364137119e-56)
(0.8209081402971203, 1.1576775200454737e-56)
(0.8221861350794064, 3.174107416729046e-57)
(0.822429582518142, 1.5662935408183895e-57)
(0.8236019548349782, 4.489554841265951e-58)
(0.8244263604313073, 1.5634057531280526e-58)
(0.8250789894431788, 5.990374894560498e-59)
(0.8251837185555356, 3.1722098104227308e-59)
(0.8253299595424994, 1.6374692593525478e-59)
(0.824206610807949, 1.8147285264290223e-59)
(0.8247449569852342, 7.409568809897454e-60)
(0.8260597071111228, 1.8754970302651808e-60)
(0.8267743714976157, 6.789673022924809e-61)
(0.826518886005226, 4.465457017325659e-61)
(0.82577507767342, 3.9796278265519305e-61)
(0.8269435159672585, 1.0804005720553585e-61)
(0.8282206634318965, 2.7062149905627206e-62)
(0.8295162670653777, 6.609458910174799e-63)
(0.8287045893431579, 6.208390168828107e-63)
(0.830008366455424, 1.4921293058420083e-63)
(0.8294736840414134, 1.1763729053758464e-63)
(0.8290241512410933, 8.78902707713089e-64)
(0.8300514203605037, 2.5013905608716382e-64)
(0.8312830764842417, 6.15207591752839e-65)
(0.8313291514878012, 3.3092436450644306e-65)
(0.8326837142550314, 7.363198095159916e-66)
(0.8314629611179898, 9.302810077200487e-66)
(0.8311204624656358, 6.503271047802417e-66)
(0.8297548174122761, 9.078686605172211e-66)
(0.8300766223935906, 4.068660419367955e-66)
(0.830504936906381, 1.6921712545008293e-66)
(0.8309582383403662, 6.896805716726576e-67)
(0.830589245098639, 4.935570696794973e-67)
(0.831852310918404, 1.1441060439911116e-67)
(0.8332019193748627, 2.460372621017881e-68)
(0.8340951750643856, 7.207841043741174e-69)
(0.8343662708043953, 3.269544765742778e-69)
(0.8351887913212482, 9.949787429020558e-70)
(0.8351188095325327, 5.745665925664024e-70)
(0.8339546032188841, 7.330274023357514e-70)
(0.8331313675369815, 7.316641678672472e-70)
(0.8334960176813526, 3.102065651357534e-70)
(0.8315598799739025, 6.933361324948413e-70)
(0.8328206964411651, 1.543116128000739e-70)
(0.8327647153188151, 8.881318864090198e-71)
(0.8332251477678739, 3.5017237760911975e-71)
(0.8315618075011924, 6.5409747027713395e-71)
(0.8323268603366248, 2.069004415847459e-71)
(0.8333644459364378, 5.308447896378353e-72)
(0.8330760521285595, 3.630899810494891e-72)
(0.8340561496969479, 9.616050387961225e-73)
(0.8349455503704403, 2.7006901847797334e-73)
(0.8353363102389529, 1.1010821278929377e-73)
(0.8350068579635915, 7.776627854619558e-74)
(0.8355694666453288, 2.770664493587915e-74)
(0.8343905427102042, 3.768688816575086e-74)
(0.834795567093403, 1.5171860782326996e-74)
(0.8351031298444042, 6.568071602426894e-75)
(0.8345983223564757, 5.341909666718215e-75)
(0.8340507668089253, 4.497910486219344e-75)
(0.8337243630478381, 3.193834481969873e-75)
(0.8341897606503634, 1.2235944588051714e-75)
(0.8347400070255325, 4.3683331273598446e-76)
(0.8351398306147663, 1.749225352373361e-76)
(0.8350723309773607, 1.0134938637306295e-76)
(0.8350492654765617, 5.669493923501276e-77)
(0.8350480824109207, 3.1168102934057867e-77)
(0.8359788380646042, 8.081055413769918e-78)
(0.8371235162845387, 1.7417387523103546e-78)
(0.8353314392649026, 4.104709501077438e-78)
(0.8329940554569224, 1.4872339895652704e-77)
(0.8328570194227841, 9.170958438505278e-78)
(0.8320573895324179, 9.636623257584262e-78)
(0.831587206640597, 7.784684970700455e-78)
(0.8327104535209678, 1.7424979296213026e-78)
(0.8325453290279284, 1.1015895815262591e-78)
(0.8315387722696811, 1.380089957848232e-78)
(0.8327642376030241, 2.816593436716976e-79)
(0.8316825968183362, 3.7744218621336936e-79)
(0.8307521058205533, 4.4709894887896456e-79)
(0.8313626861992837, 1.5079443804180862e-79)
(0.8315561001442189, 7.135583451942623e-80)
(0.8322896766837522, 2.1556495668042392e-80)
(0.8325883680476422, 9.300950298179699e-81)
(0.8325441719179186, 5.337201023702544e-81)
(0.8328576089513874, 2.2682648099173673e-81)
(0.8317419091838412, 3.202870871231425e-81)
(0.8319176356138902, 1.531382223823757e-81)
(0.8307176272206291, 2.327052381542271e-81)
(0.8312998536348981, 7.922716184800013e-82)
(0.8308590124208012, 6.380853115486065e-82)
(0.8313630867528432, 2.3123717168504486e-82)
